Sequence	BLAST	Pfam	Prosite	KEGG Pathway	Gene Ontology	Comments
ABO10732	Probable Fe(2+)-trafficking protein; Iron	Bacterial Fe(2+) trafficking; NADH ubiquinone oxidoreductase subunit NDUFA12; Phage P22-like portal protein; Family of unknown function (DUF5412)	NULL	NULL	iron ion binding [GO:0005506]; iron ion binding [GO:0005506]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; electron carrier activity [GO:0009055]; membrane [GO:0016020]	NULL
ABO10623	NAD-dependent malic enzyme; Complete proteome; Metal-binding; NAD; Oxidoreductase; Reference proteome	Malic enzyme, NAD binding domain; Malic enzyme, N-terminal domain; Ribonuclease T2 family	Malic enzymes signature	Carbon metabolism [acb01200]; Pyruvate metabolism [acb00620]; Two-component system [acb02020]	malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; oxaloacetate decarboxylase activity [GO:0008948]; malate metabolic process [GO:0006108]; NAD binding [GO:0051287]; malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; oxidation-reduction process [GO:0055114]; RNA binding [GO:0003723]; ribonuclease T2 activity [GO:0033897]; malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; oxidation-reduction process [GO:0055114]	NULL
ABO11320	Acetylglutamate kinase; Amino-acid biosynthesis; Arginine biosynthesis; ATP-binding; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Reference proteome; Transferase	Amino acid kinase family	NULL	Metabolic pathways [acb01100]; Arginine biosynthesis [acb00220]; Biosynthesis of secondary metabolites [acb01110]; 2-Oxocarboxylic acid metabolism [acb01210]; Biosynthesis of antibiotics [acb01130]; Biosynthesis of amino acids [acb01230]	cytoplasm [GO:0005737]; acetylglutamate kinase activity [GO:0003991]; ATP binding [GO:0005524]; arginine biosynthetic process [GO:0006526]	NULL
ABO11326	Outer membrane protein assembly factor BamE; Cell outer membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal	SmpA / OmlA family	Prokaryotic membrane lipoprotein lipid attachment site profile	NULL	cell outer membrane [GO:0009279]; outer membrane [GO:0019867]	NULL
ABO10627	Zinc import ATP-binding protein ZnuC; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Ion transport; Membrane; Nucleotide-binding; Reference proteome; Transport; Zinc; Zinc transport	ABC transporter; AAA domain, putative AbiEii toxin, Type IV TA system; RecF/RecN/SMC N terminal domain; P-loop containing region of AAA domain; AAA domain; RsgA GTPase; AAA ATPase domain; AAA ATPase domain; AAA domain; AAA domain; AAA domain; IstB-like ATP binding protein; Protein of unknown function (DUF815); Rad17 cell cycle checkpoint protein; AAA domain; Magnesium chelatase, subunit ChlI; Putative exonuclease SbcCD, C subunit; NB-ARC domain; Type II/IV secretion system protein; 50S ribosome-binding GTPase; ATPase domain predominantly from Archaea; ATPase family associated with various cellular activities (AAA); AAA domain; Dynamin family; Threonylcarbamoyl adenosine biosynthesis protein TsaE; PhoH-like protein; AAA domain (dynein-related subfamily); AAA domain; PrkA AAA domain; MukB N-terminal	ABC transporters family signature; ATP-binding cassette, ABC transporter-type domain profile; Zinc import ATP-binding protein znuC family profile	ABC transporters [acb02010]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; zinc-transporting ATPase activity [GO:0015633]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; ATP binding [GO:0005524]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; transport [GO:0006810]; GTP binding [GO:0005525]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; tRNA threonylcarbamoyladenosine modification [GO:0002949]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; ATP binding [GO:0005524]; chromosome segregation [GO:0007059]; chromosome condensation [GO:0030261]; nucleoid [GO:0009295]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; zinc-transporting ATPase activity [GO:0015633]; zinc II ion transport [GO:0006829]; plasma membrane [GO:0005886]	NULL
ABO10906	Formyltetrahydrofolate deformylase; Complete proteome; Hydrolase; One-carbon metabolism; Purine biosynthesis; Reference proteome	Formyl transferase; ACT domain; ACT domain	ACT domain profile	Glyoxylate and dicarboxylate metabolism [acb00630]; One carbon pool by folate [acb00670]	amino acid binding [GO:0016597]; formyltetrahydrofolate deformylase activity [GO:0008864]; hydroxymethyl-, formyl- and related transferase activity [GO:0016742]; 'de novo' IMP biosynthetic process [GO:0006189]; one-carbon metabolic process [GO:0006730]; hydroxymethyl-, formyl- and related transferase activity [GO:0016742]; biosynthetic process [GO:0009058]	NULL
ABO11654	Repressor protein CI; Complete proteome; DNA-binding; Reference proteome; Repressor; Transcription; Transcription regulation	Peptidase S24-like; Helix-turn-helix domain; Helix-turn-helix; Helix-turn-helix domain; Helix-turn-helix domain	Cro/C1-type HTH domain profile	NULL	sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; sequence-specific DNA binding [GO:0043565]; sequence-specific DNA binding [GO:0043565]; sequence-specific DNA binding [GO:0043565]	NULL
ABO13625	Imidazole glycerol phosphate synthase subunit HisH; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Glutamine amidotransferase; Histidine biosynthesis; Reference proteome; Transferase	Glutamine amidotransferase class-I; CobB/CobQ-like glutamine amidotransferase domain; SNO glutamine amidotransferase family; Peptidase C26; Protein of unknown function (DUF2661); DJ-1/PfpI family	Glutamine amidotransferase type 1 domain profile	Metabolic pathways [acb01100]; Histidine metabolism [acb00340]; Biosynthesis of secondary metabolites [acb01110]; Biosynthesis of amino acids [acb01230]	cytoplasm [GO:0005737]; transferase activity, transferring pentosyl groups [GO:0016763]; glutamine metabolic process [GO:0006541]; histidine biosynthetic process [GO:0000105]; catalytic activity [GO:0003824]; cobalamin biosynthetic process [GO:0009236]; glutaminase activity [GO:0004359]; vitamin B6 biosynthetic process [GO:0042819]; pyridoxal phosphate biosynthetic process [GO:0042823]; hydrolase activity [GO:0016787]; glutamine metabolic process [GO:0006541]	NULL
ABO11141	Uncharacterized Nudix hydrolase NudL; Complete proteome; Hydrolase; Magnesium; Manganese; Metal-binding; Reference proteome	NUDIX domain	Nudix hydrolase domain profile	NULL	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; nucleoside diphosphate metabolic process [GO:0009132]; hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]	NULL
ABO13267	NULL	NULL	NULL	NULL	NULL	NULL
ABO13733	Esterase; Hydrolase; Secreted; Serine esterase	alpha/beta hydrolase fold; Steryl acetyl hydrolase; Serine aminopeptidase, S33; Thioesterase domain; Phospholipase/Carboxylesterase	Lipolytic enzymes "G-D-X-G" family, putative histidine active site; Lipolytic enzymes "G-D-X-G" family, putative serine active site	NULL	extracellular region [GO:0005576]; carboxylic ester hydrolase activity [GO:0052689]; metabolic process [GO:0008152]; hydrolase activity [GO:0016787]; metabolic process [GO:0008152]; hydrolase activity, acting on ester bonds [GO:0016788]; biosynthetic process [GO:0009058]; hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]; metabolic process [GO:0008152]	NULL
ABO10865	Hca operon transcriptional activator HcaR; Activator; Complete proteome; DNA-binding; Reference proteome; Transcription; Transcription regulation	LysR substrate binding domain; Bacterial regulatory helix-turn-helix protein, lysR family	LysR-type HTH domain profile	NULL	DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]	NULL
ABO11917	Beta-etherase; 3D-structure; Cell inner membrane; Cell membrane; Direct protein sequencing; Hydrolase; Lignin degradation; Membrane	Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain	Soluble glutathione S-transferase N-terminal domain profile; Soluble glutathione S-transferase C-terminal domain profile	Glutathione metabolism [acb00480]	plasma membrane [GO:0005886]; hydrolase activity [GO:0016787]; lignin catabolic process [GO:0046274]; protein binding [GO:0005515]; protein binding [GO:0005515]; protein binding [GO:0005515]; protein binding [GO:0005515]	NULL
ABO11918	Glutamate/aspartate import solute-binding protein; Amino-acid transport; Complete proteome; Direct protein sequencing; Periplasm; Reference proteome; Signal; Transport	Bacterial extracellular solute-binding proteins, family 3; ABC transporter, phosphonate, periplasmic substrate-binding protein; NMT1/THI5 like; Ligated ion channel L-glutamate- and glycine-binding site	NULL	ABC transporters [acb02010]; Two-component system [acb02020]	outer membrane-bounded periplasmic space [GO:0030288]; amino acid transport [GO:0006865]; ionotropic glutamate receptor activity [GO:0004970]; extracellular-glutamate-gated ion channel activity [GO:0005234]; membrane [GO:0016020]	NULL
ABO11919	Glutamate/aspartate import permease protein GltJ; Amino-acid transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport	Binding-protein-dependent transport system inner membrane component; Male germ-cell putative homeodomain transcription factor	ABC transporter integral membrane type-1 domain profile	ABC transporters [acb02010]; Two-component system [acb02020]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transporter activity [GO:0005215]; amino acid transport [GO:0006865]; transport [GO:0006810]; membrane [GO:0016020]; transport [GO:0006810]; membrane [GO:0016020]	NULL
ABO10868	Phosphoenolpyruvate-dependent phosphotransferase system; Complete proteome; Cytoplasm; Kinase; Magnesium; Metal-binding; Phosphotransferase system; Reference proteome; Sugar transport; Transferase; Transport	PEP-utilising enzyme, TIM barrel domain; PEP-utilising enzyme, N-terminal; PEP-utilising enzyme, mobile domain; GAF domain; GAF domain; GAF domain; Hemerythrin HHE cation binding domain; Tat binding protein 1(TBP-1)-interacting protein (TBPIP)	PEP-utilizing enzymes signature 2	Phosphotransferase system (PTS) [acb02060]	cytoplasm [GO:0005737]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; transferase activity, transferring phosphorus-containing groups [GO:0016772]; phosphorylation [GO:0016310]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; transferase activity, transferring phosphorus-containing groups [GO:0016772]; phosphorylation [GO:0016310]; protein binding [GO:0005515]; protein binding [GO:0005515]; protein binding [GO:0005515]; reciprocal meiotic recombination [GO:0007131]; transferase activity, transferring phosphorus-containing groups [GO:0016772]	NULL
ABO13739	Estrogen receptor beta; Activator; Complete proteome; DNA-binding; Glycoprotein; Lipid-binding; Metal-binding; Nucleus; Phosphoprotein; Receptor; Reference proteome; Steroid-binding; Transcription; Transcription regulation; Zinc; Zinc-finger	Sigma 54 modulation protein / S30EA ribosomal protein	NULL	NULL	nucleus [GO:0005634]; estrogen receptor activity [GO:0030284]; sequence-specific DNA binding [GO:0043565]; steroid binding [GO:0005496]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; zinc ion binding [GO:0008270]; intracellular estrogen receptor signaling pathway [GO:0030520]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]; primary metabolic process [GO:0044238]	NULL
ABO10984	Small ribosomal subunit biogenesis GTPase RsgA; Complete proteome; Cytoplasm; GTP-binding; Hydrolase; Metal-binding; Nucleotide-binding; Reference proteome; Ribosome biogenesis; RNA-binding; rRNA-binding; Zinc	RsgA GTPase; 50S ribosome-binding GTPase; ABC transporter; Ferrous iron transport protein B; P-loop containing region of AAA domain; AAA ATPase domain; Ras of Complex, Roc, domain of DAPkinase; AIG1 family; Signal recognition particle receptor beta subunit; Septin; RNA helicase; Conserved hypothetical ATP binding protein; Ras family; Dynamin family	EngC GTPase domain profile; Circularly permuted (CP)-type guanine nucleotide-binding (G) domain profile	Thiamine metabolism [acb00730]; Metabolic pathways [acb01100]	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; ribosome biogenesis [GO:0042254]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; small GTPase mediated signal transduction [GO:0007264]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP binding [GO:0005525]	NULL
ABO12525	Probable alcohol dehydrogenase; Complete proteome; Iron; NAD; Oxidoreductase; Reference proteome	Iron-containing alcohol dehydrogenase; Iron-containing alcohol dehydrogenase	Iron-containing alcohol dehydrogenases signature 2; Iron-containing alcohol dehydrogenases signature 1	Metabolic pathways [acb01100]; Degradation of aromatic compounds [acb01220]; Biosynthesis of secondary metabolites [acb01110]; Tyrosine metabolism [acb00350]; Microbial metabolism in diverse environments [acb01120]; Naphthalene degradation [acb00626]; Chloroalkane and chloroalkene degradation [acb00625]; Glycolysis / Gluconeogenesis [acb00010]; Fatty acid degradation [acb00071]; Biosynthesis of antibiotics [acb01130]	alcohol dehydrogenase (NAD) activity [GO:0004022]; L-threonine 3-dehydrogenase activity [GO:0008743]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; metal ion binding [GO:0046872]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; metal ion binding [GO:0046872]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; metal ion binding [GO:0046872]; oxidation-reduction process [GO:0055114]	NULL
